Year,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent
2019,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,Asia
2019,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,Europe
2019,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,South America
2019,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,Europe
2019,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,North America
2019,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,Europe
2019,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,South America
2019,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,Europe
2019,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,Europe
2019,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,South America
2019,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,Asia
2019,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,Asia
2019,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,Europe
2019,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,Asia
2019,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,Europe
2019,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,North America
2019,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,Africa
2019,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,Asia
2019,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,North America
2019,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,Europe
2019,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,South America
2019,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,Europe
2019,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,South America
2019,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,Asia
2019,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,South America
2019,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,Europe
2019,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,Asia
2019,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,Asia
2019,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,Asia
2019,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,Europe
2019,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0,Europe
2019,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,Africa
2019,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,Europe
2019,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,Asia
2019,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,Europe
2019,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,Asia
2019,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,North America
2019,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,Europe
2019,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,Europe
2019,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,Asia
2019,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,Europe
2019,Greece,5.287,1.181,1.156,0.999,0.067,0,0.034,Europe
2019,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,Asia
2019,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,Europe
2019,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,Africa
2019,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,Asia
2019,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,Asia
2019,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,Africa
2019,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,Africa
2019,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,Europe
2019,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,Asia
2019,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,Asia
2019,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,Asia
2019,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,Asia
2019,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,Asia
2019,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,Africa
2019,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,Europe
2019,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,Africa
2019,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,Africa
2019,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,Asia
2019,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,Asia
2019,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,Africa
2019,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,South America
2019,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,Africa
2019,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,Asia
2019,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,Africa
2019,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,Europe
2019,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,Europe
2019,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,Asia
2019,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,Asia
2019,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,Africa
2019,Somalia,4.668,0,0.698,0.268,0.559,0.243,0.27,Africa
2019,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,Africa
2019,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,Africa
2019,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,Africa
2019,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,Asia
2019,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,Asia
2019,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,Africa
2019,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,Europe
2019,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,Africa
2019,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,Africa
2019,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,Africa
2019,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,Africa
2019,Tunisia,4.461,0.921,1,0.815,0.167,0.059,0.055,Africa
2019,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,Asia
2019,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,Asia
2019,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,Africa
2019,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,Africa
2019,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,Africa
2019,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,Asia
2019,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,Asia
2019,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,Africa
2019,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,Europe
2019,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,Africa
2019,Swaziland,4.212,0.811,1.149,0,0.313,0.074,0.135,Africa
2019,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,Africa
2019,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,Africa
2019,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,Africa
2019,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,Africa
2019,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,Asia
2019,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,Africa
2019,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,Africa
2019,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,Africa
2019,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,Africa
2019,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,Africa
2019,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,Asia
2019,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,North America
2019,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,Africa
2019,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,Asia
2019,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,Africa
2019,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,Asia
2019,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,Africa
2019,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,Africa
2019,Afghanistan,3.203,0.35,0.517,0.361,0,0.158,0.025,Asia
2019,Central African Republic,3.083,0.026,0,0.105,0.225,0.235,0.035,Africa
2019,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,Africa
2018,2018,Finland,7.632,1.305,,,,,Europe
2018,2018,Denmark,7.555,1.351,,,,,Europe
2018,2018,Norway,7.594,1.456,,,,,Europe
2018,2018,Iceland,7.495,1.343,,,,,Europe
2018,2018,Netherlands,7.441,1.361,,,,,Europe
2018,2018,Switzerland,7.487,1.42,,,,,Europe
2018,2018,Sweden,7.314,1.355,,,,,Europe
2018,2018,New Zealand,7.324,1.268,,,,,Oceania
2018,2018,Canada,7.328,1.33,,,,,North America
2018,2018,Austria,7.139,1.341,,,,,Europe
2018,2018,Australia,7.272,1.34,,,,,Oceania
2018,2018,Costa Rica,7.072,1.01,,,,,North America
2018,2018,Israel,6.814,1.301,,,,,Asia
2018,2018,Luxembourg,6.91,1.576,,,,,Europe
2018,2018,United Kingdom,7.19,1.244,,,,,Europe
2018,2018,Ireland,6.977,1.448,,,,,Europe
2018,2018,Germany,6.965,1.34,,,,,Europe
2018,2018,Belgium,6.927,1.324,,,,,Europe
2018,2018,United States,6.886,1.398,,,,,North America
2018,2018,Czech Republic,6.711,1.233,,,,,Europe
2018,2018,United Arab Emirates,6.774,2.096,,,,,Asia
2018,2018,Malta,6.627,1.27,,,,,Europe
2018,2018,Mexico,6.488,1.038,,,,,North America
2018,2018,France,6.489,1.293,,,,,Europe
2018,2018,Taiwan,6.441,1.365,,,,,Asia
2018,2018,Chile,6.476,1.131,,,,,South America
2018,2018,Guatemala,6.382,0.781,,,,,North America
2018,2018,Saudi Arabia,6.371,1.379,,,,,Asia
2018,2018,Qatar,6.374,1.649,,,,,Asia
2018,2018,Spain,6.31,1.251,,,,,Europe
2018,2018,Panama,6.43,1.112,,,,,North America
2018,2018,Brazil,6.419,0.986,,,,,South America
2018,2018,Uruguay,6.379,1.093,,,,,South America
2018,2018,Singapore,6.343,1.529,,,,,Asia
2018,2018,El Salvador,6.167,0.806,,,,,North America
2018,2018,Italy,6,1.264,,,,,Europe
2018,2018,Bahrain,6.105,1.338,,,,,Asia
2018,2018,Slovakia,6.173,1.21,,,,,Europe
2018,2018,Trinidad & Tobago,6.192,1.223,,,,,South America
2018,2018,Poland,6.123,1.176,,,,,Europe
2018,2018,Uzbekistan,6.096,0.719,,,,,Asia
2018,2018,Lithuania,5.952,1.197,,,,,Europe
2018,2018,Colombia,6.26,0.96,,,,,South America
2018,2018,Slovenia,5.948,1.219,,,,,Europe
2018,2018,Nicaragua,6.141,0.668,,,,,North America
2018,2018,Kosovo,5.662,0.855,,,,,Europe
2018,2018,Argentina,6.388,1.073,,,,,South America
2018,2018,Romania,5.945,1.116,,,,,Europe
2018,2018,Cyprus,5.762,1.229,,,,,Europe
2018,2018,Ecuador,5.973,0.889,,,,,South America
2018,2018,Kuwait,6.083,1.474,,,,,Asia
2018,2018,Thailand,6.072,1.016,,,,,Asia
2018,2018,Latvia,5.933,1.148,,,,,Europe
2018,2018,South Korea,5.875,1.266,,,,,Asia
2018,2018,Estonia,5.739,1.2,,,,,Europe
2018,2018,Jamaica,5.89,0.819,,,,,North America
2018,2018,Mauritius,5.891,1.09,,,,,Africa
2018,2018,Japan,5.915,1.294,,,,,Asia
2018,2018,Honduras,5.504,0.62,,,,,North America
2018,2018,Kazakhstan,5.79,1.143,,,,,Europe
2018,2018,Bolivia,5.752,0.751,,,,,South America
2018,2018,Hungary,5.62,1.171,,,,,Europe
2018,2018,Paraguay,5.681,0.835,,,,,South America
2018,2018,Northern Cyprus,5.835,1.229,,,,,Asia
2018,2018,Peru,5.663,0.934,,,,,South America
2018,2018,Portugal,5.41,1.188,,,,,Europe
2018,2018,Pakistan,5.472,0.652,,,,,Asia
2018,2018,Russia,5.81,1.151,,,,,Asia
2018,2018,Philippines,5.524,0.775,,,,,Asia
2018,2018,Serbia,5.398,0.975,,,,,Europe
2018,2018,Moldova,5.64,0.657,,,,,Europe
2018,2018,Libya,5.566,0.985,,,,,Africa
2018,2018,Montenegro,5.347,1.017,,,,,Europe
2018,2018,Tajikistan,5.199,0.474,,,,,Asia
2018,2018,Croatia,5.321,1.115,,,,,Europe
2018,2018,Hong Kong,5.43,1.405,,,,,Asia
2018,2018,Dominican Republic,5.302,0.982,,,,,North America
2018,2018,Bosnia and Herzegovina,5.129,0.915,,,,,Europe
2018,2018,Turkey,5.483,1.148,,,,,Europe
2018,2018,Malaysia,6.322,1.161,,,,,Asia
2018,2018,Belarus,5.483,1.039,,,,,Europe
2018,2018,Greece,5.358,1.154,,,,,Europe
2018,2018,Mongolia,5.125,0.914,,,,,Asia
2018,2018,North Macedonia,#N/A,#N/A,,,,,Europe
2018,2018,Nigeria,5.155,0.689,,,,,Africa
2018,2018,Kyrgyzstan,5.131,0.53,,,,,Asia
2018,2018,Turkmenistan,5.636,1.016,,,,,Asia
2018,2018,Algeria,5.295,0.979,,,,,Africa
2018,2018,Morocco,5.254,0.779,,,,,Africa
2018,2018,Azerbaijan,5.201,1.024,,,,,Europe
2018,2018,Lebanon,5.358,0.965,,,,,Asia
2018,2018,Indonesia,5.093,0.899,,,,,Asia
2018,2018,China,5.246,0.989,,,,,Asia
2018,2018,Vietnam,5.103,0.715,,,,,Asia
2018,2018,Bhutan,5.082,0.796,,,,,Asia
2018,2018,Cameroon,4.975,0.535,,,,,Africa
2018,2018,Bulgaria,4.933,1.054,,,,,Europe
2018,2018,Ghana,4.657,0.592,,,,,Africa
2018,2018,Ivory Coast,4.671,0.541,,,,,Africa
2018,2018,Nepal,4.88,0.425,,,,,Asia
2018,2018,Jordan,5.161,0.822,,,,,Asia
2018,2018,Benin,4.141,0.378,,,,,Africa
2018,2018,Congo (Brazzaville),4.559,0.682,,,,,South America
2018,2018,Gabon,4.758,1.036,,,,,Africa
2018,2018,Laos,4.623,0.72,,,,,Asia
2018,2018,South Africa,4.724,0.94,,,,,Africa
2018,2018,Albania,4.586,0.916,,,,,Europe
2018,2018,Venezuela,4.806,0.996,,,,,Europe
2018,2018,Cambodia,4.433,0.549,,,,,Asia
2018,2018,Palestinian Territories,4.743,0.642,,,,,Asia
2018,2018,Senegal,4.631,0.429,,,,,Africa
2018,2018,Somalia,4.982,0,,,,,Africa
2018,2018,Namibia,4.441,0.874,,,,,Africa
2018,2018,Niger,4.166,0.131,,,,,Africa
2018,2018,Burkina Faso,4.424,0.314,,,,,Africa
2018,2018,Armenia,4.321,0.816,,,,,Asia
2018,2018,Iran,4.707,1.059,,,,,Asia
2018,2018,Guinea,3.964,0.344,,,,,Africa
2018,2018,Georgia,4.34,0.853,,,,,Europe
2018,2018,Gambia,#N/A,#N/A,,,,,Africa
2018,2018,Kenya,4.41,0.493,,,,,Africa
2018,2018,Mauritania,4.356,0.557,,,,,Africa
2018,2018,Mozambique,4.417,0.198,,,,,Africa
2018,2018,Tunisia,4.592,0.9,,,,,Africa
2018,2018,Bangladesh,4.5,0.532,,,,,Asia
2018,2018,Iraq,4.456,1.01,,,,,Asia
2018,2018,Congo (Kinshasa),4.245,0.069,,,,,Africa
2018,2018,Mali,4.447,0.37,,,,,Africa
2018,2018,Sierra Leone,4.571,0.256,,,,,Africa
2018,2018,Sri Lanka,4.471,0.918,,,,,Asia
2018,2018,Myanmar,4.308,0.682,,,,,Asia
2018,2018,Chad,4.301,0.358,,,,,Africa
2018,2018,Ukraine,4.103,0.793,,,,,Europe
2018,2018,Ethiopia,4.35,0.308,,,,,Africa
2018,2018,Swaziland,#N/A,#N/A,,,,,Africa
2018,2018,Uganda,4.161,0.322,,,,,Africa
2018,2018,Egypt,4.419,0.885,,,,,Africa
2018,2018,Zambia,4.377,0.562,,,,,Africa
2018,2018,Togo,3.999,0.259,,,,,Africa
2018,2018,India,4.19,0.721,,,,,Asia
2018,2018,Liberia,3.495,0.076,,,,,Africa
2018,2018,Comoros,#N/A,#N/A,,,,,Africa
2018,2018,Madagascar,3.774,0.262,,,,,Africa
2018,2018,Lesotho,3.808,0.472,,,,,Africa
2018,2018,Burundi,#N/A,0.091,,,,,Africa
2018,2018,Zimbabwe,3.692,0.357,,,,,Asia
2018,2018,Haiti,3.582,0.315,,,,,North America
2018,2018,Botswana,3.59,1.017,,,,,Africa
2018,2018,Syria,3.462,0.689,,,,,Asia
2018,2018,Malawi,3.587,0.186,,,,,Africa
2018,2018,Yemen,3.355,0.442,,,,,Asia
2018,2018,Rwanda,3.408,0.332,,,,,Africa
2018,2018,Tanzania,3.303,0.455,,,,,Africa
2018,2018,Afghanistan,3.632,0.332,,,,,Asia
2018,2018,Central African Republic,3.083,0.024,,,,,Africa
2018,2018,South Sudan,3.254,0.337,,,,,Africa
2017,2017,Finland,7.469,1.444,,,,,Europe
2017,2017,Denmark,7.522,1.482,,,,,Europe
2017,2017,Norway,7.537,1.616,,,,,Europe
2017,2017,Iceland,7.504,1.481,,,,,Europe
2017,2017,Netherlands,7.377,1.504,,,,,Europe
2017,2017,Switzerland,7.494,1.565,,,,,Europe
2017,2017,Sweden,7.284,1.494,,,,,Europe
2017,2017,New Zealand,7.314,1.406,,,,,Oceania
2017,2017,Canada,7.316,1.479,,,,,North America
2017,2017,Austria,7.006,1.487,,,,,Europe
2017,2017,Australia,7.284,1.484,,,,,Oceania
2017,2017,Costa Rica,7.079,1.11,,,,,North America
2017,2017,Israel,7.213,1.375,,,,,Asia
2017,2017,Luxembourg,6.863,1.742,,,,,Europe
2017,2017,United Kingdom,6.714,1.442,,,,,Europe
2017,2017,Ireland,6.977,1.536,,,,,Europe
2017,2017,Germany,6.951,1.488,,,,,Europe
2017,2017,Belgium,6.891,1.464,,,,,Europe
2017,2017,United States,6.993,1.546,,,,,North America
2017,2017,Czech Republic,6.609,1.353,,,,,Europe
2017,2017,United Arab Emirates,6.648,1.626,,,,,Asia
2017,2017,Malta,6.527,1.343,,,,,Europe
2017,2017,Mexico,6.578,1.153,,,,,North America
2017,2017,France,6.442,1.431,,,,,Europe
2017,2017,Taiwan,#N/A,#N/A,,,,,Asia
2017,2017,Chile,6.652,1.253,,,,,South America
2017,2017,Guatemala,6.454,0.872,,,,,North America
2017,2017,Saudi Arabia,6.344,1.531,,,,,Asia
2017,2017,Qatar,6.375,1.871,,,,,Asia
2017,2017,Spain,6.403,1.384,,,,,Europe
2017,2017,Panama,6.452,1.234,,,,,North America
2017,2017,Brazil,6.635,1.107,,,,,South America
2017,2017,Uruguay,6.454,1.218,,,,,South America
2017,2017,Singapore,6.572,1.692,,,,,Asia
2017,2017,El Salvador,6.003,0.91,,,,,North America
2017,2017,Italy,5.964,1.395,,,,,Europe
2017,2017,Bahrain,6.087,1.488,,,,,Asia
2017,2017,Slovakia,6.098,1.325,,,,,Europe
2017,2017,Trinidad & Tobago,#N/A,#N/A,,,,,South America
2017,2017,Poland,5.973,1.292,,,,,Europe
2017,2017,Uzbekistan,5.971,0.786,,,,,Asia
2017,2017,Lithuania,5.902,1.315,,,,,Europe
2017,2017,Colombia,6.357,1.071,,,,,South America
2017,2017,Slovenia,5.758,1.341,,,,,Europe
2017,2017,Nicaragua,6.071,0.737,,,,,North America
2017,2017,Kosovo,5.279,0.951,,,,,Europe
2017,2017,Argentina,6.599,1.185,,,,,South America
2017,2017,Romania,5.825,1.218,,,,,Europe
2017,2017,Cyprus,5.621,1.356,,,,,Europe
2017,2017,Ecuador,6.008,1.001,,,,,South America
2017,2017,Kuwait,6.105,1.633,,,,,Asia
2017,2017,Thailand,6.424,1.128,,,,,Asia
2017,2017,Latvia,5.85,1.261,,,,,Europe
2017,2017,South Korea,5.838,1.402,,,,,Asia
2017,2017,Estonia,5.611,1.321,,,,,Europe
2017,2017,Jamaica,5.311,0.926,,,,,North America
2017,2017,Mauritius,5.629,1.189,,,,,Africa
2017,2017,Japan,5.92,1.417,,,,,Asia
2017,2017,Honduras,5.181,0.731,,,,,North America
2017,2017,Kazakhstan,5.819,1.285,,,,,Europe
2017,2017,Bolivia,5.823,0.834,,,,,South America
2017,2017,Hungary,5.324,1.286,,,,,Europe
2017,2017,Paraguay,5.493,0.933,,,,,South America
2017,2017,Northern Cyprus,#N/A,#N/A,,,,,Asia
2017,2017,Peru,5.715,1.035,,,,,South America
2017,2017,Portugal,5.195,1.315,,,,,Europe
2017,2017,Pakistan,5.269,0.727,,,,,Asia
2017,2017,Russia,5.963,1.282,,,,,Asia
2017,2017,Philippines,5.43,0.858,,,,,Asia
2017,2017,Serbia,5.395,1.069,,,,,Europe
2017,2017,Moldova,5.838,0.729,,,,,Europe
2017,2017,Libya,5.525,1.102,,,,,Africa
2017,2017,Montenegro,5.237,1.121,,,,,Europe
2017,2017,Tajikistan,5.041,0.525,,,,,Asia
2017,2017,Croatia,5.293,1.223,,,,,Europe
2017,2017,Hong Kong,#N/A,#N/A,,,,,Asia
2017,2017,Dominican Republic,5.23,1.079,,,,,North America
2017,2017,Bosnia and Herzegovina,5.182,0.982,,,,,Europe
2017,2017,Turkey,5.5,1.198,,,,,Europe
2017,2017,Malaysia,6.084,1.291,,,,,Asia
2017,2017,Belarus,5.569,1.157,,,,,Europe
2017,2017,Greece,5.227,1.289,,,,,Europe
2017,2017,Mongolia,4.955,1.027,,,,,Asia
2017,2017,North Macedonia,#N/A,#N/A,,,,,Europe
2017,2017,Nigeria,5.074,0.784,,,,,Africa
2017,2017,Kyrgyzstan,5.004,0.596,,,,,Asia
2017,2017,Turkmenistan,5.822,1.131,,,,,Asia
2017,2017,Algeria,5.872,1.092,,,,,Africa
2017,2017,Morocco,5.235,0.878,,,,,Africa
2017,2017,Azerbaijan,5.234,1.154,,,,,Europe
2017,2017,Lebanon,5.225,1.075,,,,,Asia
2017,2017,Indonesia,5.262,0.996,,,,,Asia
2017,2017,China,5.273,1.081,,,,,Asia
2017,2017,Vietnam,5.074,0.789,,,,,Asia
2017,2017,Bhutan,5.011,0.885,,,,,Asia
2017,2017,Cameroon,4.695,0.564,,,,,Africa
2017,2017,Bulgaria,4.714,1.161,,,,,Europe
2017,2017,Ghana,4.12,0.667,,,,,Africa
2017,2017,Ivory Coast,4.18,0.603,,,,,Africa
2017,2017,Nepal,4.962,0.48,,,,,Asia
2017,2017,Jordan,5.336,0.991,,,,,Asia
2017,2017,Benin,3.657,0.431,,,,,Africa
2017,2017,Congo (Brazzaville),4.291,0.809,,,,,South America
2017,2017,Gabon,4.465,1.198,,,,,Africa
2017,2017,Laos,#N/A,#N/A,,,,,Asia
2017,2017,South Africa,4.829,1.055,,,,,Africa
2017,2017,Albania,4.644,0.996,,,,,Europe
2017,2017,Venezuela,5.25,1.128,,,,,Europe
2017,2017,Cambodia,4.168,0.602,,,,,Asia
2017,2017,Palestinian Territories,4.775,0.716,,,,,Asia
2017,2017,Senegal,4.535,0.479,,,,,Africa
2017,2017,Somalia,5.151,0.023,,,,,Africa
2017,2017,Namibia,4.574,0.964,,,,,Africa
2017,2017,Niger,4.028,0.162,,,,,Africa
2017,2017,Burkina Faso,4.032,0.35,,,,,Africa
2017,2017,Armenia,4.376,0.901,,,,,Asia
2017,2017,Iran,4.692,1.157,,,,,Asia
2017,2017,Guinea,3.507,0.245,,,,,Africa
